"nome,""placa"",""denominacao"",""num_tombamento"",""data_aquisicao"",""odometro_atual"",""denominacao-2"",""denominacao-3"",""denominacao-4"",""quantidade_passageiros"",""ano_fabricacao"",""denominacao-5"",""denominacao-6"""
"CAMPUS ARACAJU,""IAC-1508"","""",30016340,""2015-07-04"",2531258,""PRÓPRIO"",""Disponível"",""BRANCA"",46,2006,""COMIL CAMPIONE R"",""VOLKSWAGEN"""
"CAMPUS ARACAJU,""IAI-0783"","""",30017358,""2015-07-04"",145434,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2009,""L200 GL 2.5 4X4 CD Diesel"",""MITSUBISHI"""
"CAMPUS ARACAJU,""IAN-2060"","""",30016744,""2015-07-04"",151566,""PRÓPRIO"",""Disponível"",""BRANCA"",16,2008,""Boxer 2.3 Furg.TB Dies. Méd/ LongoT.Alto"",""PEUGEOT"""
"CAMPUS ARACAJU,""OEO-2332"","""",30023901,""2015-07-04"",457754,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2013,""Fiesta Sed. 1.6 8V Flex 4p"",""FORD"""
"CAMPUS ARACAJU,""ZZZ-0000"",""Veículo terceirizado"",NULL,""2015-12-02"",0,""TERCEIRO"",""Disponível"",""BRANCA"",0,2000,""ATV 100"",""ADLY"""
"CAMPUS ESTANCIA,""HHH-1111"",""teste"",60011861,""2016-03-28"",103423,""PRÓPRIO"",""Disponível"",""VERMELHO"",0,2001,""456 GT"",""FERRARI"""
"CAMPUS ESTANCIA,""NVJ-8711"",""HILUX - CAMPUS ESTÂNCIA"",60011436,""2015-12-11"",260998,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2011,""HILUX CD 4X4"",""TOYOTA"""
"CAMPUS ESTANCIA,""OEJ-8408"",""MAXBUS- CAMPUS ESTÂNCIA"",10045040,""2015-12-11"",132384,""PRÓPRIO"",""Disponível"",""BRANCA"",42,2010,""OH1628L"",""MERCEDES-BENZ"""
"CAMPUS ESTANCIA,""OEO-5804"",""LOGAN - CAMPUS ESTÂNCIA"",60011861,""2015-12-11"",157140,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2013,""LOGAN EXPRESSION 1.0 16V"",""RENAULT"""
"CAMPUS GLORIA,""NVJ-8731"","""",70087591,""2015-07-05"",250603,""PRÓPRIO"",""Disponível"",""BRANCA"",0,2011,""Hilux CD SR D4-D 4x4 3.0 163cv TDI Dies."",""TOYOTA"""
"CAMPUS GLORIA,""NVK-7957"","""",60008758,""2015-11-10"",952507,""PRÓPRIO"",""Disponível"",""BRANCA"",29,2011,""VOLARE (Executivo W8) (diesel)"",""MARCOPOLO"""
"CAMPUS GLORIA,""OES-9868"","""",70014658,""2015-07-05"",216626,""PRÓPRIO"",""Disponível"",""BRANCA"",16,2011,""Boxer 2.8 Furg. TB Dies. Méd/LongoT.Alto"",""PEUGEOT"""
"CAMPUS ITABAIANA,""NVJ-9551"","""",50012456,""2015-07-05"",740933,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2011,""Hilux CD D4-D 4x4 2.5 16V 102cv TB Dies."",""TOYOTA"""
"CAMPUS ITABAIANA,""OES-5738"","""",50013062,""2015-07-06"",163378,""PRÓPRIO"",""Disponível"",""BRANCA"",16,2011,""BOXER 2.8 FURGÃO DIES/ TB DIES.CURTO/MÉD"",""PEUGEOT"""
"CAMPUS LAGARTO,""HZO-4780"","""",40050527,""2015-10-02"",50204,""PRÓPRIO"",""Disponível"",""BRANCA"",0,1997,""Band.Jipe Cap.de Aço Chas. Curto Diesel"",""TOYOTA"""
"CAMPUS LAGARTO,""HZT-4713"","""",40052304,""2015-10-02"",178991,""PRÓPRIO"",""Disponível"",""BRANCA"",0,2000,""FORCE 50"",""AGRALE"""
"CAMPUS LAGARTO,""IAE-8382"","""",40054249,""2015-10-01"",46211,""PRÓPRIO"",""Disponível"",""BRANCA"",0,2007,""Gol City 1.6 Mi Total Flex 8V 2p"",""VW - VOLKSWAGEN"""
"CAMPUS LAGARTO,""IAN-2070"","""",40054250,""2015-07-22"",143232,""PRÓPRIO"",""Disponível"",""BRANCA"",0,2007,""Boxer 2.8 15L/16L Dies./TB Diesel"",""PEUGEOT"""
"CAMPUS LAGARTO,""NVJ-6247"","""",10045637,""2015-07-09"",146154,""PRÓPRIO"",""Disponível"",""BRANCA"",7,2011,""DOBLÒ ESSENCE 1.8 FLEX"",""FIAT"""
"CAMPUS LAGARTO,""NVJ-9561"","""",40056757,""2015-10-01"",193910,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2011,""Hilux CD D4-D 4x4 2.5 16V 102cv TB Dies."",""TOYOTA"""
"CAMPUS LAGARTO,""OEJ-8468"","""",40056756,""2015-10-01"",144740,""PRÓPRIO"",""Disponível"",""BRANCA"",0,2010,""SLK-55 AMG V8 24V 360cv"",""MERCEDES-BENZ"""
"CAMPUS PROPRIÁ,""NVJ-8721"","""",10045644,""2015-09-21"",192862,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2011,""HILUX CD 4X4"",""TOYOTA"""
"CAMPUS PROPRIÁ,""TRA-0001"",""TRATOR NEW HOLLAND"",90158538,""2022-02-16"",11420,""PRÓPRIO"",""Disponível"",""AZUL"",1,2021,""TL5.100 4WD W CAB"",""NEW HOLLAND"""
"CAMPUS SAO CRISTOVAO,""AXR-9982"","""",20077056,""2015-09-21"",139006,""PRÓPRIO"",""Disponível"",""BRANCA"",16,2013,""BOXER 2.8 FURGÃO DIES/ TB DIES.CURTO/MÉD"",""PEUGEOT"""
"CAMPUS SAO CRISTOVAO,""HZG-5877"","""",20066275,""2015-09-21"",257192,""PRÓPRIO"",""Disponível"",""BRANCA"",44,1995,""O-400R"",""MERCEDES-BENZ"""
"CAMPUS SAO CRISTOVAO,""HZQ-8661"","""",20073180,""2015-09-30"",247017,""PRÓPRIO"",""Disponível"",""BRANCA"",3,1999,""7-100 2p (diesel)"",""VOLKSWAGEN"""
"CAMPUS SAO CRISTOVAO,""NVG-8433"","""",20073179,""2015-09-30"",156885,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2011,""Fiesta Sed. 1.6 8V Flex 4p"",""FORD"""
"CAMPUS SAO CRISTOVAO,""NVK-2160"","""",20072844,""2015-09-21"",163772,""PRÓPRIO"",""Disponível"",""BRANCA"",6,2010,""S10 Blazer Colina 2.8 TDI 4x4 Diesel"",""GM - CHEVROLET"""
"CAMPUS SAO CRISTOVAO,""NVK-2180"","""",20072845,""2015-09-21"",91997,""PRÓPRIO"",""Disponível"",""BRANCA"",6,2010,""S10 Blazer Colina 2.8 TDI 4x4 Diesel"",""GM - CHEVROLET"""
"CAMPUS SAO CRISTOVAO,""NVK-2524"","""",20073321,""2015-09-30"",169471,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2011,""Focus Sedan 2.0 16V/ 2.0 16V Flex 4p"",""FORD"""
"CAMPUS SAO CRISTOVAO,""NVK-3682"","""",20072857,""2015-09-21"",181632,""PRÓPRIO"",""Disponível"",""BRANCA"",25,2011,""VOLARE (Executivo W9) (diesel)"",""MARCOPOLO"""
"CAMPUS SAO CRISTOVAO,""NVK-5552"","""",20072858,""2015-09-21"",27932,""PRÓPRIO"",""Disponível"",""BRANCA"",2,2010,""Kangoo Express Hi-Flex 1.6 16V"",""RENAULT"""
"CAMPUS SAO CRISTOVAO,""OEJ-8448"","""",20073522,""2015-09-21"",169864,""PRÓPRIO"",""Disponível"",""BRANCA"",42,2010,""OH1628L"",""MERCEDES-BENZ"""
"CAMPUS SAO CRISTOVAO,""OEM-5144"","""",20075921,""2015-09-30"",56194,""PRÓPRIO"",""Disponível"",""BRANCA"",3,2012,""CARGO 816/S"",""FORD"""
"CAMPUS SAO CRISTOVAO,""OEP-8742"","""",20076287,""2015-09-21"",197472,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2013,""L200 Triton HPE 3.2 CD TB Int.Diesel Aut"",""MITSUBISHI"""
"CAMPUS SAO CRISTOVAO,""OES-9031"","""",20076987,""2015-09-21"",46027,""PRÓPRIO"",""Disponível"",""BRANCA"",2,2013,""MONTANA Sport 1.4 ECONOFLEX 8V 2p"",""GM - CHEVROLET"""
"CAMPUS SAO CRISTOVAO,""ROC-0004"","""",20100903,""2019-11-21"",37,""PRÓPRIO"",""Disponível"",""OUTRAS"",0,2010,""ROÇADEIRA"",""GENÉRICO"""
"CAMPUS SAO CRISTOVAO,""TRA-8030"","""",20072847,""2019-11-21"",3861,""PRÓPRIO"",""Disponível"",""AZUL"",0,2010,""TNH-8030"",""NEW HOLLAND"""
"CAMPUS SAO CRISTOVAO,""TRO-0002"","""",20073359,""2019-11-21"",3240,""PRÓPRIO"",""Disponível"",""AZUL"",0,2011,""TL-85E"",""NEW HOLLAND"""
"CAMPUS SAO CRISTOVAO,""TRO-0003"","""",20076020,""2019-11-21"",1389,""PRÓPRIO"",""Disponível"",""AZUL"",0,2013,""TL-85E"",""NEW HOLLAND"""
"CAMPUS SOCORRO,""NVJ-6207"","""",10045636,""2015-09-21"",133148,""PRÓPRIO"",""Disponível"",""BRANCA"",7,2011,""DOBLÒ ESSENCE 1.8 FLEX"",""FIAT"""
"CAMPUS SOCORRO,""OEJ-1351"","""",110156127,""2021-08-18"",52898,""PRÓPRIO"",""Disponível"",""PRETA"",4,2012,""FLUENCEDYN 2.0 AUTOMÁTICO"",""RENAULT"""
"CAMPUS TOBIAS BARRETO,""IAI-0793"","""",10044373,""2015-10-29"",140011,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2009,""L200 GL 2.5 4X4 CD Diesel"",""MITSUBISHI"""
"CAMPUS TOBIAS BARRETO,""NVI-9071"","""",80156158,""2022-03-31"",133848,""PRÓPRIO"",""Disponível"",""BRANCA"",0,2010,""Palio Weekend Trekking 1.4 Fire Flex 8V"",""FIAT"""
"REITORIA,""NVH-1589"",""INSTITUTO FEDERAL DE SERGIPE"",110156126,""2022-06-14"",53451,""PRÓPRIO"",""Disponível"",""BRANCA"",7,2011,""DOBLÒ ESSENCE 1.8 FLEX"",""FIAT"""
"REITORIA,""NVI-0682"","""",10044965,""2015-09-21"",84675,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2013,""Vectra Elegance 2.0 MPFI"",""GM - CHEVROLET"""
"REITORIA,""OEJ-1341"",""INSTITUTO FEDERAL DE SERGIPE"",10156171,""2021-12-21"",29432,""PRÓPRIO"",""Disponível"",""BRANCA"",4,2011,""FLUENCEDYN 2.0 AUTOMÁTICO"",""RENAULT"""
"REITORIA,""OEM-0162"","""",NULL,""2015-12-16"",91192,""PRÓPRIO"",""Disponível"",""BRANCA"",0,2013,""Fiesta Sedan Street 1.6 8v 4p"",""FORD"""
"REITORIA,""OEM-8401"","""",10000202,""2015-09-22"",146431,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2013,""AMAROK CD 4X4 SE"",""VOLKSWAGEN"""
"REITORIA,""OEM-8441"","""",10000203,""2015-09-21"",129129376,""PRÓPRIO"",""Disponível"",""BRANCA"",5,2013,""AMAROK CD 4X4 SE"",""VOLKSWAGEN"""
"REITORIA,""OES-3668"","""",10046052,""2015-09-21"",114730,""PRÓPRIO"",""Disponível"",""BRANCA"",16,2011,""BOXER 2.8 FURGÃO DIES/ TB DIES.CURTO/MÉD"",""PEUGEOT"""
"REITORIA,""QMM-4926"",""INSTITUTO FEDERAL DE SERGIPE"",10165548,""2022-09-13"",911330,""PRÓPRIO"",""Disponível"",""BRANCA"",0,2020,""Siena 1.5 mpi 8V 4p"",""FIAT"""
